Chapter,Verse,id,text,url
1,1,1.1,"Dhrtarastra said: O Sanjaya, after assembling in the place of pilgrimage at Kuruksetra, what did my sons and the sons of Pandu do, being desirous to fight?",https://asitis.com/1/1.html
1,2,1.2,"Sanjaya said: O King, after looking over the army gathered by the sons of Pandu, King Duryodhana went to his teacher and began to speak the following words:",https://asitis.com/1/2.html
1,3,1.3,"O my teacher, behold the great army of the sons of Pandu, so expertly arranged by your intelligent disciple, the son of Drupada.",https://asitis.com/1/3.html
1,4,1.4,"Here in this army there are many heroic bowmen equal in fighting to Bhima and Arjuna; there are also great fighters like Yuyudhana, Virata and Drupada.",https://asitis.com/1/4.html
1,5,1.5,"There are also great, heroic, powerful fighters like Dhrstaketu, Cekitana, Kasiraja, Purujit, Kuntibhoja and Saibya.",https://asitis.com/1/5.html
1,6,1.6,"There are the mighty Yudhamanyu, the very powerful Uttamauja, the son of Subhadra and the sons of Draupadi. All these warriors are great chariot fighters.",https://asitis.com/1/6.html
1,7,1.7,"O best of the brahmanas, for your information, let me tell you about the captains who are especially qualified to lead my military force.",https://asitis.com/1/7.html
1,8,1.8,"There are personalities like yourself, Bhisma, Karna, Krpa, Asvatthama, Vikarna and the son of Somadatta called Bhurisrava, who are always victorious in battle.",https://asitis.com/1/8.html
1,9,1.9,"There are many other heroes who are prepared to lay down their lives for my sake. All of them are well equipped with different kinds of weapons, and all are experienced in military science.",https://asitis.com/1/9.html
1,10,1.10,"Our strength is immeasurable, and we are perfectly protected by Grandfather Bhisma, whereas the strength of the Pandavas, carefully protected by Bhima, is limited.",https://asitis.com/1/10.html
1,11,1.11,"Now all of you must give full support to Grandfather Bhisma, standing at your respective strategic points in the phalanx of the army.",https://asitis.com/1/11.html
1,12,1.12,"Then Bhisma, the great valiant grandsire of the Kuru dynasty, the grandfather of the fighters, blew his conchshell very loudly like the sound of a lion, giving Duryodhana joy.",https://asitis.com/1/12.html
1,13,1.13,"After that, the conchshells, bugles, trumpets, drums and horns were all suddenly sounded, and the combined sound was tumultuous.",https://asitis.com/1/13.html
1,14,1.14,"On the other side, both Lord Krsna and Arjuna, stationed on a great chariot drawn by white horses, sounded their transcendental conchshells.",https://asitis.com/1/14.html
1,15,1.15,"Then, Lord Krsna blew His conchshell, called Pancajanya; Arjuna blew his, the Devadatta; and Bhima, the voracious eater and performer of Herculean tasks, blew his terrific conchshell called Paundram.",https://asitis.com/1/15.html
1,16-18,1.16-18,"King Yudhisthira, the son of Kunti, blew his conchshell, the Anantavijaya, and Nakula and Sahadeva blew the Sughosa and Manipuspaka. That great archer the King of Kasi, the great fighter Sikhandi, Dhrstadyumna, Virata and the unconquerable Satyaki, Drupada, the sons of Draupadi, and the others, O King, such as the son of Subhadra, greatly armed, all blew their respective conchshells.",https://asitis.com/1/16-18.html
1,19,1.19,"The blowing of these different conchshells became uproarious, and thus, vibrating both in the sky and on the earth, it shattered the hearts of the sons of Dhrtarastra.",https://asitis.com/1/19.html
1,20,1.20,"O King, at that time Arjuna, the son of Pandu, who was seated in his chariot, his flag marked with Hanuman, took up his bow and prepared to shoot his arrows, looking at the sons of Dhrtarastra. O King, Arjuna then spoke to Hrsikesa [Krsna] these words:",https://asitis.com/1/20.html
1,21-22,1.21-22,"Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see who is present here, who is desirous of fighting, and with whom I must contend in this great battle attempt.",https://asitis.com/1/21-22.html
1,23,1.23,"Let me see those who have come here to fight, wishing to please the evil-minded son of Dhrtarastra.",https://asitis.com/1/23.html
1,24,1.24,"Sanjaya said: O descendant of Bharata, being thus addressed by Arjuna, Lord Krsna drew up the fine chariot in the midst of the armies of both parties.",https://asitis.com/1/24.html
1,25,1.25,"In the presence of Bhisma, Drona and all other chieftains of the world, Hrsikesa, the Lord, said, Just behold, Partha, all the Kurus who are assembled here.",https://asitis.com/1/25.html
1,26,1.26,"There Arjuna could see, within the midst of the armies of both parties, his fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, friends, and also his father-in-law and well-wishers-all present there.",https://asitis.com/1/26.html
1,27,1.27,"When the son of Kunti, Arjuna, saw all these different grades of friends and relatives, he became overwhelmed with compassion and spoke thus:",https://asitis.com/1/27.html
1,28,1.28,"Arjuna said: My dear Krsna, seeing my friends and relatives present before me in such a fighting spirit, I feel the limbs of my body quivering and my mouth drying up.",https://asitis.com/1/28.html
1,29,1.29,"My whole body is trembling, and my hair is standing on end. My bow Gandiva is slipping from my hand, and my skin is burning.",https://asitis.com/1/29.html
1,30,1.3,"I am now unable to stand here any longer. I am forgetting myself, and my mind is reeling. I foresee only evil, O killer of the Kesi demon.",https://asitis.com/1/30.html
1,31,1.31,"I do not see how any good can come from killing my own kinsmen in this battle, nor can I, my dear Krsna, desire any subsequent victory, kingdom, or happiness.",https://asitis.com/1/31.html
1,32-35,1.32-35,"O Govinda, of what avail to us are kingdoms, happiness or even life itself when all those for whom we may desire them are now arrayed in this battlefield? O Madhusudana, when teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and all relatives are ready to give up their lives and properties and are standing before me, then why should I wish to kill them, though I may survive? O maintainer of all creatures, I am not prepared to fight with them even in exchange for the three worlds, let alone this earth.",https://asitis.com/1/32-35.html
1,36,1.36,"Sin will overcome us if we slay such aggressors. Therefore it is not proper for us to kill the sons of Dhrtarastra and our friends. What should we gain, O Krsna, husband of the goddess of fortune, and how could we be happy by killing our own kinsmen?",https://asitis.com/1/36.html
1,37-38,1.37-38,"O Janardana, although these men, overtaken by greed, see no fault in killing one's family or quarreling with friends, why should we, with knowledge of the sin, engage in these acts?",https://asitis.com/1/37-38.html
1,39,1.39,"With the destruction of dynasty, the eternal family tradition is vanquished, and thus the rest of the family becomes involved in irreligious practice.",https://asitis.com/1/39.html
1,40,1.4,"When irreligion is prominent in the family, O Krsna, the women of the family become corrupt, and from the degradation of womanhood, O descendant of Vrsni, comes unwanted progeny.",https://asitis.com/1/40.html
1,41,1.41,"When there is increase of unwanted population, a hellish situation is created both for the family and for those who destroy the family tradition. In such corrupt families, there is no offering of oblations of food and water to the ancestors.",https://asitis.com/1/41.html
1,42,1.42,"Due to the evil deeds of the destroyers of family tradition, all kinds of community projects and family welfare activities are devastated.",https://asitis.com/1/42.html
1,43,1.43,"O Krsna, maintainer of the people, I have heard by disciplic succession that those who destroy family traditions dwell always in hell.",https://asitis.com/1/43.html
1,44,1.44,"Alas, how strange it is that we are preparing to commit greatly sinful acts, driven by the desire to enjoy royal happiness.",https://asitis.com/1/44.html
1,45,1.45,"I would consider it better for the sons of Dhrtarastra to kill me unarmed and unresisting, rather than fight with them.",https://asitis.com/1/45.html
1,46,1.46,"Sanjaya said: Arjuna, having thus spoken on the battlefield, cast aside his bow and arrows and sat down on the chariot, his mind overwhelmed with grief.",https://asitis.com/1/46.html
2,1,2.1,"Sanjaya said: Seeing Arjuna full of compassion and very sorrowful, his eyes brimming with tears, Madhusudana, Krsna, spoke the following words.",https://asitis.com/2/1.html
